population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,353,Equinococose cística,1,Número,2023,1371.1903672345586,1810.621975826944,974.4561813652789
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,357,Dengue,1,Número,2023,52677.80697497037,108884.3221855489,25241.59073038347
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,358,Febre amarela,1,Número,2023,4419.433043993658,9302.49496655411,1546.8959037299696
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,359,Raiva,1,Número,2023,15811.106041566609,27439.316757341632,6661.030422733646
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,361,Ascaridíase,1,Número,2023,4973.149310501549,6151.431955395165,3838.705697213453
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,365,Outras doenças tropicais negligenciadas,1,Número,2023,26263.06441453079,48302.06871798731,12978.397507665804
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,367,Hemorragia materna,1,Número,2023,51988.07165332694,69979.38380298975,35767.446470866525
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,368,Sepse materna e outras infecções maternas,1,Número,2023,26741.462902700066,37067.324282079426,19034.108272218436
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,369,Distúrbios da hipertensão materna,1,Número,2023,48207.50094961734,59907.599203498685,37342.79180913883
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,370,Trabalho de parto obstruído e ruptura uterina,1,Número,2023,12175.03328179562,18422.676062805578,7508.140050655838
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,374,Gravidez ectópica,1,Número,2023,12713.883282964132,17812.00483360083,8498.021381537019
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,375,Mortes maternas indiretas,1,Número,2023,23037.817115772934,32739.12786461598,16348.487418800702
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,376,Mortes maternas tardias,1,Número,2023,8017.876113188646,9867.948401561494,6752.530173071891
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,381,Complicações neonatais do parto prematuro,1,Número,2023,623302.5734565497,735006.3124018019,509686.73080031044
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,382,Encefalopatia neonatal devido a asfixia e trauma no nascimento,1,Número,2023,562119.7483791884,678691.8988248988,471443.0003587597
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,383,Sepse neonatal e outras infecções neonatais,1,Número,2023,223221.13504062576,315222.0247013394,155596.23622885186
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,384,Doença hemolítica e outra icterícia neonatal,1,Número,2023,30337.15961760571,47794.893277508025,16702.291539221595
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,385,Outros transtornos do período neonatal,1,Número,2023,188981.11645141404,267413.0404440486,124186.1349597352
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,998,Doença renal crônica devido ao diabetes mellitus tipo II,1,Número,2023,343162.6830351336,413932.8782887155,271095.0869606966
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1004,Hipertensão arterial pulmonar,1,Número,2023,22736.12315632652,29745.737532053183,17483.791274386193
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1005,Hepatoblastoma,1,Número,2023,3508.8362802617175,5212.346370834347,2279.800899182704
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1006,Linfoma de Burkitt,1,Número,2023,6729.69900289523,9567.90535900742,5051.125414741558
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1007,Outro linfoma não Hodgkin,1,Número,2023,276228.02720089076,312524.98217499844,241567.13363181773
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1009,Retinoblastoma,1,Número,2023,3225.6782471881415,7010.263835650004,1268.6409377110765
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1010,Outros cânceres oculares,1,Número,2023,6857.143002435936,8841.381865732279,5372.879691299351
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1011,Sarcomas de tecidos moles e outros sarcomas extraósseos,1,Número,2023,60896.514476169286,75744.08103883195,49005.00490592082
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1012,Neoplasma maligno de osso e cartilagem articular ,1,Número,2023,76611.29053729815,96284.38831542818,60740.54800735734
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1013,Neuroblastoma e outros tumores de célula nervosa periférica ,1,Número,2023,6007.1290994450765,7636.393034937405,5023.120741968579
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1024,Colite ulcerativa,1,Número,2023,39558.544164879226,45772.211867715174,34073.11973814899
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1025,Doença de Crohn,1,Número,2023,6977.86159718149,8529.488924164816,5886.791189980871
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1026,Carga total relacionada a hepatite b,1,Número,2023,628482.8804059636,707389.2660724055,537277.6552934918
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,447,Câncer de nasofaringe,1,Número,2023,75329.16788914562,89031.68257803243,63228.42116143534
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,450,Outro câncer da faringe,1,Número,2023,113895.71240610447,140619.08706662766,92506.98492317041
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,453,Câncer da vesícula biliar e das vias biliares,1,Número,2023,183933.96161568124,220491.8624045452,159747.55909816406
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,456,Câncer de pâncreas,1,Número,2023,552299.9960597267,588050.9362765477,501579.52864125295
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,459,Melanoma maligno da pele,1,Número,2023,66556.89397304929,75218.57744640605,59902.93872113738
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,465,Câncer de ovário,1,Número,2023,220942.26639623765,255002.70894556862,191535.9870332604
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,468,Câncer de testículo,1,Número,2023,11909.59772527629,14681.81895509338,9639.765891662728
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,471,Câncer renal,1,Número,2023,165265.96096536057,179929.8618509621,146673.00259875783
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,474,Câncer de bexiga,1,Número,2023,233666.1298202577,257520.84435804325,208489.4195761623
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,477,Neoplasia não maligna da bexiga,1,Número,2023,263866.7965580674,312930.19511143933,230360.10079812215
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,480,Câncer de tireoide,1,Número,2023,52193.44429665254,61454.46951910352,44673.34574024051
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,483,Mesotelioma,1,Número,2023,27972.29415224559,30850.16282648444,24751.521299451808
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,484,Linfoma de Hodgkin,1,Número,2023,27149.234410038185,34849.025511079366,21038.62291574896
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,486,Mieloma múltiplo,1,Número,2023,125087.02601574728,136974.03152418582,112767.15522793231
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,489,Outras neoplasias malignas,1,Número,2023,225794.87081711603,250703.56008842165,196807.0027058094
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,492,Doença reumática cardíaca,1,Número,2023,388794.22935082257,554148.6981725475,260877.32597915965
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,493,Doença isquêmica do coração,1,Número,2023,8896068.536088709,9646991.44092591,8038413.165406049
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,300,HIV/AIDS resultando em outras doenças,1,Número,2023,623121.9305912721,769739.3498876409,518983.9723440613
